pred2ndNext	pred1rstNext	DrawId	Feat-Effectifs-Over10-MedianEffsOfOutputs	Feat-Effectifs-Over10-andSupa20-MeanEffsIn	Feat-Effectifs-Over10-andSupa20-MeanEffsOut	Feat-Effectifs-Over10-andSupa20-MedianEffsIn	Feat-Effectifs-Over10-andSupa20-MedianEffsOut
2	2	20180806	2	2.43	1.0	3.0	1.0
2	2	20180804	3	2.43	1.0	2.0	1.0
2	3	20180803	1	2.43	1.0	2.0	1.0
3	1	20180802	1	2.57	0.67	2.0	1.0
1	1	20180801	2	2.71	0.33	2.0	0.0
1	2	20180731	1	2.57	0.67	2.0	1.0
2	1	20180730	1	2.29	1.33	2.0	1.0
1	1	20180728	2	2.33	1.5	2.0	1.5
1	2	20180727	3	2.17	1.75	2.0	2.0
2	3	20180726	3	2.17	1.75	2.0	2.0
3	3	20180725	2	2.14	1.67	2.0	2.0
3	2	20180724	1	2.14	1.67	2.0	2.0
2	1	20180723	2	2.5	1.25	2.5	1.5
1	2	20180721	1	2.43	1.0	2.0	1.0
2	1	20180720	1	2.43	1.0	3.0	1.0
1	1	20180719	1	2.71	0.33	3.0	0.0
1	1	20180718	3	2.86	0.0	3.0	0.0
1	3	20180717	1	2.86	0.0	3.0	0.0
3	1	20180716	2	3.0	0.5	3.0	0.0
1	2	20180714	2	2.83	0.75	2.5	0.5
2	2	20180713	1	2.67	1.0	2.5	1.0
2	1	20180712	2	2.6	1.4	2.0	2.0
1	2	20180711	2	2.33	1.5	2.0	1.5
2	2	20180710	3	2.33	1.5	2.0	1.5
2	3	20180709	2	2.29	1.33	2.0	1.0
3	2	20180707	1	2.29	1.33	2.0	1.0
2	1	20180706	1	2.33	1.5	2.0	1.5
1	1	20180705	3	2.8	1.2	3.0	1.0
1	3	20180704	1	2.6	1.4	3.0	1.0
3	1	20180703	2	3.2	0.8	3.0	1.0
1	2	20180702	1	3.0	0.5	3.0	0.5
2	1	20180630	2	3.2	0.8	3.0	1.0
1	2	20180629	3	3.2	0.8	4.0	1.0
2	3	20180628	2	3.0	1.0	3.0	1.0
3	2	20180627	1	2.5	1.25	2.5	1.5
2	1	20180626	3	2.33	1.5	2.5	1.5
1	3	20180625	1	2.33	1.5	2.5	1.5
3	1	20180623	2	2.17	1.75	2.0	1.5
1	2	20180622	3	2.14	1.67	2.0	1.0
2	3	20180621	2	2.14	1.67	2.0	1.0
3	2	20180620	2	2.0	2.0	2.0	2.0
2	2	20180619	1	2.0	2.0	2.0	2.0
2	1	20180618	1	1.88	2.5	1.5	2.5
1	1	20180616	1	1.88	2.5	1.5	2.5
1	1	20180615	1	2.14	1.67	2.0	2.0
1	1	20180614	1	2.17	1.75	2.0	1.5
1	1	20180613	2	2.33	1.5	2.5	1.0
1	2	20180612	3	2.29	1.33	3.0	1.0
2	3	20180611	1	2.29	1.33	2.0	1.0
3	1	20180609	1	2.57	0.67	3.0	1.0
1	1	20180608	2	2.83	0.75	3.0	0.5
1	2	20180607	1	2.83	0.75	2.5	0.5
2	1	20180606	4	3.2	0.8	3.0	1.0
1	4	20180605	3	3.0	1.0	3.0	1.0
4	3	20180604	1	2.67	1.0	2.5	1.0
3	1	20180602	3	2.83	0.75	3.0	1.0
1	3	20180601	3	2.83	0.75	2.5	1.0
3	3	20180531	2	2.67	1.0	2.0	1.0
3	2	20180530	2	2.29	1.33	2.0	1.0
2	2	20180529	2	2.38	0.5	2.5	0.5
2	2	20180528	1	2.38	0.5	2.0	0.5
2	1	20180526	2	2.57	0.67	2.0	1.0
1	2	20180525	2	2.43	1.0	2.0	1.0
2	2	20180524	1	2.38	0.5	2.0	0.5
2	1	20180523	2	2.43	1.0	2.0	1.0
1	2	20180522	1	2.29	1.33	2.0	1.0
2	1	20180521	1	2.43	1.0	2.0	1.0
1	1	20180519	1	2.5	1.25	2.5	1.0
1	1	20180518	3	2.8	1.2	3.0	1.0
1	3	20180517	2	2.5	1.25	2.5	1.0
3	2	20180516	3	2.5	1.25	2.5	1.0
2	3	20180515	2	2.33	1.5	2.0	1.0
3	2	20180514	2	2.17	1.75	2.0	1.5
2	2	20180512	1	2.14	1.67	2.0	2.0
2	1	20180511	2	2.43	1.0	2.0	1.0
1	2	20180510	1	2.43	1.0	2.0	1.0
2	1	20180509	4	2.83	0.75	2.0	0.5
1	4	20180508	3	2.57	0.67	2.0	0.0
4	3	20180507	2	2.5	0.0	2.0	0.0
3	2	20180505	2	2.5	0.0	2.0	0.0
2	2	20180504	1	2.38	0.5	2.0	0.5
2	1	20180503	2	2.71	0.33	3.0	0.0
